Particle Filename,Center X,Center Y,Radius
particle_1.png,236,910,48
particle_2.png,895,872,45
particle_3.png,311,284,49
particle_4.png,656,940,41
particle_5.png,776,650,31
particle_6.png,767,562,48
particle_7.png,433,353,48
particle_8.png,805,52,49
particle_9.png,77,637,41
particle_10.png,865,472,39
particle_11.png,787,370,32
particle_12.png,110,782,26
particle_13.png,574,356,30
particle_14.png,782,899,49
particle_15.png,907,406,39
particle_16.png,520,145,33
particle_17.png,668,201,47
particle_18.png,27,405,26
particle_19.png,121,358,36
particle_20.png,697,685,49
particle_21.png,451,620,39
particle_22.png,171,867,29
particle_23.png,489,988,41
particle_24.png,967,823,48
particle_25.png,249,641,48
particle_26.png,847,940,33
particle_27.png,23,899,30
particle_28.png,493,404,27
particle_29.png,50,845,26
particle_30.png,584,205,48
particle_31.png,969,681,47
particle_32.png,476,518,39
particle_33.png,394,775,37
particle_34.png,287,29,27
particle_35.png,403,555,36
particle_36.png,467,181,25
particle_37.png,861,107,25
particle_38.png,38,775,45
particle_39.png,435,267,40
particle_40.png,98,542,23
particle_41.png,927,307,31
particle_42.png,970,427,26
particle_43.png,841,236,37
particle_44.png,367,983,25
particle_45.png,484,871,25
particle_46.png,701,788,49
particle_47.png,932,154,36
particle_48.png,764,130,29
particle_49.png,831,677,29
particle_50.png,598,70,27
particle_51.png,854,742,27
particle_52.png,116,230,47
particle_53.png,278,133,44
particle_54.png,335,539,35
particle_55.png,211,279,21
particle_56.png,531,781,28
particle_57.png,171,237,27
particle_58.png,713,10,45
particle_59.png,914,539,32
particle_60.png,87,67,20
particle_61.png,200,398,47
particle_62.png,586,823,44
particle_63.png,778,748,35
particle_64.png,650,843,36
particle_65.png,883,697,29
particle_66.png,509,352,28
particle_67.png,239,67,27
particle_68.png,547,289,39
particle_69.png,136,926,33
particle_70.png,987,484,32
particle_71.png,179,152,26
particle_72.png,176,507,25
particle_73.png,286,848,24
particle_74.png,927,481,22
particle_75.png,899,712,48
particle_76.png,730,269,37
particle_77.png,368,352,33
particle_78.png,329,796,32
particle_79.png,33,700,31
particle_80.png,507,917,31
particle_81.png,33,314,26
particle_82.png,623,765,23
particle_83.png,725,495,39
particle_84.png,923,87,32
particle_85.png,513,457,28
particle_86.png,145,817,24
particle_87.png,127,155,19
particle_88.png,827,560,41
particle_89.png,406,451,22
particle_90.png,517,37,37
particle_91.png,362,892,33
particle_92.png,586,728,30
particle_93.png,556,411,29
particle_94.png,21,652,26
particle_95.png,677,136,19
particle_96.png,433,836,29
particle_97.png,721,866,29
particle_98.png,279,531,29
particle_99.png,143,109,21
particle_100.png,323,453,47
particle_101.png,541,877,31
particle_102.png,826,626,21
particle_103.png,959,754,24
particle_104.png,211,567,23
particle_105.png,739,202,22
particle_106.png,298,751,20
particle_107.png,965,251,32
particle_108.png,71,422,28
particle_109.png,41,266,22
particle_110.png,955,603,39
particle_111.png,823,147,25
particle_112.png,385,718,21
particle_113.png,406,1024,20
particle_114.png,259,623,49
particle_115.png,782,301,32
particle_116.png,461,779,29
particle_117.png,871,805,27
particle_118.png,172,659,25
particle_119.png,133,676,25
particle_120.png,734,87,25
particle_121.png,788,172,14
particle_122.png,71,901,39
particle_123.png,61,497,33
particle_124.png,977,308,33
particle_125.png,976,657,28
particle_126.png,237,832,28
particle_127.png,490,307,26
particle_128.png,93,835,23
particle_129.png,362,653,20
particle_130.png,80,291,20
particle_131.png,644,23,18
particle_132.png,143,224,44
particle_133.png,195,478,29
particle_134.png,545,583,25
particle_135.png,575,134,24
particle_136.png,223,171,21
particle_137.png,329,92,21
particle_138.png,327,657,20
particle_139.png,392,92,19
particle_140.png,635,123,41
particle_141.png,94,721,32
particle_142.png,413,674,31
particle_143.png,182,323,28
particle_144.png,106,466,24
particle_145.png,443,419,22
particle_146.png,893,976,22
particle_147.png,419,496,20
particle_148.png,261,706,17
particle_149.png,1006,223,17
particle_150.png,608,453,35
particle_151.png,218,7,32
particle_152.png,136,70,29
particle_153.png,239,317,22
particle_154.png,307,910,21
particle_155.png,380,508,19
particle_156.png,946,580,43
particle_157.png,557,82,29
particle_158.png,998,176,28
particle_159.png,129,292,27
particle_160.png,921,773,23
particle_161.png,590,274,18
particle_162.png,431,910,44
particle_163.png,98,985,39
particle_164.png,829,328,32
particle_165.png,729,356,27
particle_166.png,887,641,27
particle_167.png,561,485,24
particle_168.png,909,214,24
particle_169.png,225,785,21
particle_170.png,73,381,18
particle_171.png,625,638,40
particle_172.png,55,578,39
particle_173.png,458,458,28
particle_174.png,605,980,27
particle_175.png,325,601,25
particle_176.png,493,574,24
particle_177.png,591,908,24
particle_178.png,196,819,22
particle_179.png,569,617,22
particle_180.png,149,448,21
particle_181.png,274,350,21
particle_182.png,389,304,19
particle_183.png,983,119,29
particle_184.png,334,691,29
particle_185.png,825,838,27
particle_186.png,494,741,21
particle_187.png,237,747,21
particle_188.png,830,278,18
particle_189.png,739,421,39
particle_190.png,769,977,36
particle_191.png,778,826,36
particle_192.png,191,97,28
particle_193.png,389,41,25
particle_194.png,787,213,22
particle_195.png,512,201,19
particle_196.png,604,21,18
particle_197.png,235,455,17
particle_198.png,418,989,27
particle_199.png,369,400,22
particle_200.png,778,419,21
particle_201.png,836,409,21
particle_202.png,525,248,21
particle_203.png,237,1007,20
particle_204.png,902,934,19
particle_205.png,868,598,16
particle_206.png,340,814,43
particle_207.png,434,134,38
particle_208.png,338,63,32
particle_209.png,400,835,26
particle_210.png,41,211,26
particle_211.png,873,58,22
particle_212.png,98,585,21
particle_213.png,961,515,21
particle_214.png,261,970,20
particle_215.png,137,981,20
particle_216.png,1003,620,20
particle_217.png,677,67,19
particle_218.png,436,951,18
particle_219.png,57,131,18
particle_220.png,635,1037,37
particle_221.png,203,709,31
particle_222.png,178,766,31
particle_223.png,671,469,28
particle_224.png,253,501,28
particle_225.png,891,749,27
particle_226.png,482,88,24
particle_227.png,211,525,21
particle_228.png,298,949,19
particle_229.png,75,332,17
particle_230.png,139,537,17
particle_231.png,285,67,25
particle_232.png,623,688,24
particle_233.png,141,577,21
particle_234.png,493,817,20
particle_235.png,340,749,20
particle_236.png,614,393,19
particle_237.png,193,47,17
particle_238.png,583,650,28
particle_239.png,254,196,24
