Particle Filename,Center X,Center Y,Radius
particle_1.png,431,634,38
particle_2.png,663,143,41
particle_3.png,505,802,36
particle_4.png,824,375,42
particle_5.png,964,693,45
particle_6.png,867,302,35
particle_7.png,69,115,31
particle_8.png,760,80,51
particle_9.png,465,40,50
particle_10.png,381,458,39
particle_11.png,211,506,36
particle_12.png,625,266,51
particle_13.png,599,65,47
particle_14.png,92,515,37
particle_15.png,547,200,29
particle_16.png,247,417,29
particle_17.png,292,725,55
particle_18.png,753,623,36
particle_19.png,622,549,36
particle_20.png,423,877,37
particle_21.png,147,652,26
particle_22.png,109,980,41
particle_23.png,447,473,64
particle_24.png,447,362,55
particle_25.png,814,183,55
particle_26.png,95,182,37
particle_27.png,802,268,33
particle_28.png,441,805,29
particle_29.png,293,292,40
particle_30.png,325,111,55
particle_31.png,679,613,47
particle_32.png,136,781,40
particle_33.png,920,452,33
particle_34.png,310,469,48
particle_35.png,561,134,28
particle_36.png,271,529,27
particle_37.png,369,681,35
particle_38.png,26,418,53
particle_39.png,179,195,48
particle_40.png,410,1009,36
particle_41.png,581,784,29
particle_42.png,752,693,28
particle_43.png,947,513,25
particle_44.png,622,735,20
particle_45.png,157,907,41
particle_46.png,421,561,29
particle_47.png,577,647,68
particle_48.png,887,649,67
particle_49.png,287,363,35
particle_50.png,494,172,33
particle_51.png,914,856,32
particle_52.png,340,932,29
particle_53.png,326,221,33
particle_54.png,578,445,24
particle_55.png,765,359,21
particle_56.png,152,575,20
particle_57.png,298,110,69
particle_58.png,559,323,63
particle_59.png,883,616,43
particle_60.png,365,350,33
particle_61.png,219,311,32
particle_62.png,121,285,41
particle_63.png,656,339,40
particle_64.png,68,869,48
particle_65.png,763,449,42
particle_66.png,981,796,42
particle_67.png,497,596,32
particle_68.png,887,703,22
particle_69.png,578,616,43
particle_70.png,988,865,34
particle_71.png,741,284,29
particle_72.png,801,747,48
particle_73.png,410,119,43
particle_74.png,56,321,36
particle_75.png,207,124,32
particle_76.png,495,110,21
particle_77.png,362,526,30
particle_78.png,944,219,29
particle_79.png,313,794,27
particle_80.png,687,202,24
particle_81.png,889,135,37
particle_82.png,742,220,28
particle_83.png,640,683,28
particle_84.png,368,59,26
particle_85.png,94,697,45
particle_86.png,273,91,39
particle_87.png,152,343,34
particle_88.png,177,1019,36
particle_89.png,992,467,38
particle_90.png,338,415,33
particle_91.png,701,250,27
particle_92.png,505,709,52
particle_93.png,389,291,47
particle_94.png,310,593,40
particle_95.png,215,677,36
particle_96.png,219,59,36
particle_97.png,249,225,36
particle_98.png,153,478,36
particle_99.png,359,877,25
particle_100.png,825,739,63
particle_101.png,939,77,48
particle_102.png,244,937,36
particle_103.png,529,392,35
particle_104.png,88,454,26
particle_105.png,734,389,25
particle_106.png,784,551,27
particle_107.png,43,592,26
particle_108.png,626,471,46
particle_109.png,579,872,37
particle_110.png,909,619,65
particle_111.png,789,201,41
particle_112.png,495,533,23
particle_113.png,440,746,22
particle_114.png,203,560,20
particle_115.png,110,262,49
particle_116.png,575,730,21
particle_117.png,719,343,23
particle_118.png,101,355,20
particle_119.png,215,158,37
particle_120.png,602,202,32
particle_121.png,1006,169,28
particle_122.png,556,556,28
particle_123.png,790,496,23
particle_124.png,557,238,21
particle_125.png,422,507,16
particle_126.png,969,541,59
particle_127.png,472,269,40
particle_128.png,617,400,33
particle_129.png,800,661,26
particle_130.png,866,457,34
particle_131.png,772,847,33
particle_132.png,38,784,29
particle_133.png,824,109,27
particle_134.png,682,332,59
particle_135.png,705,748,36
particle_136.png,721,483,24
particle_137.png,130,545,21
particle_138.png,575,364,20
particle_139.png,667,861,57
particle_140.png,854,58,36
particle_141.png,637,1051,28
particle_142.png,785,320,28
particle_143.png,865,779,26
particle_144.png,530,58,20
particle_145.png,187,259,19
particle_146.png,643,25,18
particle_147.png,207,37,48
particle_148.png,669,892,47
particle_149.png,152,73,32
particle_150.png,127,605,24
particle_151.png,967,566,39
particle_152.png,473,235,38
particle_153.png,535,491,37
particle_154.png,467,454,36
particle_155.png,914,790,28
particle_156.png,362,754,27
particle_157.png,11,263,37
particle_158.png,346,179,37
particle_159.png,614,39,22
particle_160.png,1022,937,35
particle_161.png,79,10,34
particle_162.png,999,69,22
particle_163.png,165,219,37
particle_164.png,381,729,36
particle_165.png,233,981,22
particle_166.png,850,525,22
particle_167.png,589,1039,40
particle_168.png,139,128,32
particle_169.png,961,106,26
particle_170.png,466,920,23
particle_171.png,903,263,23
particle_172.png,287,647,18
particle_173.png,212,610,27
particle_174.png,827,45,23
particle_175.png,879,208,39
particle_176.png,41,523,33
particle_177.png,703,830,31
particle_178.png,37,733,25
particle_179.png,788,146,25
particle_180.png,988,631,25
particle_181.png,153,734,47
particle_182.png,821,599,21
particle_183.png,850,33,13
particle_184.png,253,362,30
particle_185.png,907,735,23
particle_186.png,178,731,33
particle_187.png,7,849,22
particle_188.png,217,729,19
particle_189.png,523,673,19
particle_190.png,291,872,43
particle_191.png,118,208,13
particle_192.png,235,189,21
particle_193.png,226,370,20
particle_194.png,567,675,19
particle_195.png,671,1067,33
particle_196.png,892,506,28
particle_197.png,407,1045,22
particle_198.png,754,135,22
particle_199.png,449,521,19
particle_200.png,899,16,19
particle_201.png,70,267,19
particle_202.png,280,177,32
particle_203.png,737,885,19
particle_204.png,667,782,25
particle_205.png,847,944,20
particle_206.png,515,94,17
particle_207.png,711,305,11
particle_208.png,128,807,40
particle_209.png,839,665,14
particle_210.png,403,939,19
particle_211.png,285,28,25
particle_212.png,409,274,33
particle_213.png,647,1022,27
particle_214.png,523,320,26
particle_215.png,867,503,21
particle_216.png,107,718,19
particle_217.png,128,335,19
particle_218.png,754,777,18
particle_219.png,739,320,13
particle_220.png,703,79,12
particle_221.png,429,195,23
particle_222.png,927,566,20
particle_223.png,347,826,18
particle_224.png,245,628,17
particle_225.png,619,1007,14
