Particle Filename,Center X,Center Y,Radius
particle_1.png,110,967,46
particle_2.png,281,651,28
particle_3.png,535,467,28
particle_4.png,713,613,39
particle_5.png,183,355,26
particle_6.png,86,877,38
particle_7.png,475,536,49
particle_8.png,254,201,28
particle_9.png,823,305,44
particle_10.png,910,521,39
particle_11.png,389,470,26
particle_12.png,679,730,35
particle_13.png,860,698,34
particle_14.png,919,34,27
particle_15.png,652,195,24
particle_16.png,203,853,29
particle_17.png,619,848,24
particle_18.png,254,267,37
particle_19.png,220,638,29
particle_20.png,843,224,35
particle_21.png,326,181,25
particle_22.png,382,201,36
particle_23.png,766,1024,36
particle_24.png,297,963,25
particle_25.png,765,886,35
particle_26.png,727,303,30
particle_27.png,63,457,40
particle_28.png,416,145,32
particle_29.png,469,75,26
particle_30.png,854,820,26
particle_31.png,759,409,33
particle_32.png,795,813,20
particle_33.png,524,406,32
particle_34.png,637,547,40
particle_35.png,601,723,22
particle_36.png,391,538,39
particle_37.png,185,526,33
particle_38.png,67,331,21
particle_39.png,399,67,45
particle_40.png,868,381,41
particle_41.png,932,682,25
particle_42.png,849,140,47
particle_43.png,346,1011,43
particle_44.png,946,608,37
particle_45.png,943,83,21
particle_46.png,603,100,20
particle_47.png,124,590,35
particle_48.png,325,698,31
particle_49.png,589,315,28
particle_50.png,761,479,31
particle_51.png,442,628,29
particle_52.png,641,427,27
particle_53.png,170,625,22
particle_54.png,224,753,21
particle_55.png,449,284,19
particle_56.png,194,959,25
particle_57.png,939,367,29
particle_58.png,808,627,28
particle_59.png,574,651,21
particle_60.png,715,194,36
particle_61.png,623,677,34
particle_62.png,970,209,34
particle_63.png,274,129,24
particle_64.png,146,848,21
particle_65.png,614,628,18
particle_66.png,61,627,16
particle_67.png,887,87,28
particle_68.png,662,111,26
particle_69.png,345,435,25
particle_70.png,715,527,32
particle_71.png,519,607,22
particle_72.png,956,460,35
particle_73.png,362,597,26
particle_74.png,333,871,25
particle_75.png,469,905,18
particle_76.png,123,515,35
particle_77.png,992,995,34
particle_78.png,386,915,28
particle_79.png,875,941,24
particle_80.png,134,139,22
particle_81.png,489,945,19
particle_82.png,817,460,34
particle_83.png,719,967,29
particle_84.png,463,335,27
particle_85.png,981,328,22
particle_86.png,616,475,21
particle_87.png,542,776,18
particle_88.png,709,813,40
particle_89.png,237,802,20
particle_90.png,518,725,18
particle_91.png,1003,386,35
particle_92.png,62,123,27
particle_93.png,196,76,26
particle_94.png,485,122,21
particle_95.png,967,121,20
particle_96.png,398,671,17
particle_97.png,704,455,35
particle_98.png,316,236,25
particle_99.png,559,111,19
particle_100.png,393,719,18
particle_101.png,455,11,35
particle_102.png,941,290,35
particle_103.png,770,217,26
particle_104.png,706,361,23
particle_105.png,248,409,20
particle_106.png,149,224,24
particle_107.png,153,913,23
particle_108.png,184,1004,22
particle_109.png,655,281,21
particle_110.png,813,934,19
particle_111.png,491,788,17
particle_112.png,658,335,25
particle_113.png,230,145,20
particle_114.png,373,831,15
particle_115.png,551,530,29
particle_116.png,518,685,19
particle_117.png,399,868,18
particle_118.png,188,767,17
particle_119.png,938,155,16
particle_120.png,581,434,32
particle_121.png,571,365,31
particle_122.png,316,767,24
particle_123.png,206,580,21
particle_124.png,517,843,20
particle_125.png,370,401,18
particle_126.png,398,971,18
particle_127.png,742,130,26
particle_128.png,976,533,25
particle_129.png,895,319,21
particle_130.png,633,237,21
particle_131.png,850,863,16
particle_132.png,369,344,16
particle_133.png,845,898,16
particle_134.png,711,34,26
particle_135.png,20,631,26
particle_136.png,620,377,25
particle_137.png,550,910,23
particle_138.png,656,995,21
particle_139.png,52,995,20
particle_140.png,421,310,19
particle_141.png,532,947,18
particle_142.png,341,478,17
particle_143.png,116,700,31
particle_144.png,370,303,22
particle_145.png,549,34,20
particle_146.png,536,207,31
particle_147.png,160,35,24
particle_148.png,259,841,21
particle_149.png,982,922,21
particle_150.png,149,394,18
particle_151.png,958,801,18
particle_152.png,885,902,16
particle_153.png,943,946,25
particle_154.png,332,637,22
particle_155.png,178,421,21
particle_156.png,802,713,19
particle_157.png,128,299,18
particle_158.png,485,226,17
particle_159.png,835,784,15
particle_160.png,884,266,29
particle_161.png,445,873,26
particle_162.png,753,94,24
particle_163.png,254,917,22
particle_164.png,664,383,21
particle_165.png,668,832,21
particle_166.png,560,697,20
particle_167.png,26,346,18
particle_168.png,113,797,18
particle_169.png,593,58,17
particle_170.png,886,866,14
particle_171.png,782,535,26
particle_172.png,478,829,24
particle_173.png,730,761,24
particle_174.png,23,181,21
particle_175.png,669,57,15
particle_176.png,579,585,30
particle_177.png,925,755,25
particle_178.png,26,899,19
particle_179.png,209,704,17
particle_180.png,68,573,16
particle_181.png,914,891,14
particle_182.png,898,453,24
particle_183.png,983,35,23
particle_184.png,235,323,22
particle_185.png,563,965,20
particle_186.png,245,75,19
particle_187.png,73,57,18
particle_188.png,518,250,18
particle_189.png,272,449,17
particle_190.png,971,769,17
particle_191.png,404,791,14
particle_192.png,399,634,13
particle_193.png,999,135,12
particle_194.png,27,953,30
particle_195.png,604,944,23
particle_196.png,135,85,22
particle_197.png,596,203,21
particle_198.png,273,883,19
particle_199.png,782,57,19
particle_200.png,57,381,16
particle_201.png,705,693,15
particle_202.png,403,389,14
particle_203.png,851,3,32
particle_204.png,333,555,23
particle_205.png,824,51,21
particle_206.png,907,717,20
particle_207.png,273,701,20
particle_208.png,665,945,20
particle_209.png,351,112,18
particle_210.png,286,363,18
particle_211.png,527,650,17
particle_212.png,275,597,17
particle_213.png,310,835,16
particle_214.png,346,929,14
particle_215.png,635,1037,37
particle_216.png,797,365,25
particle_217.png,59,735,25
particle_218.png,737,244,25
particle_219.png,200,257,18
particle_220.png,771,269,18
particle_221.png,884,775,17
particle_222.png,513,164,17
particle_223.png,481,743,17
particle_224.png,524,119,13
particle_225.png,897,640,27
particle_226.png,519,315,25
particle_227.png,573,255,24
particle_228.png,249,959,23
particle_229.png,440,377,20
particle_230.png,196,901,17
particle_231.png,430,219,17
particle_232.png,211,224,13
particle_233.png,1024,724,27
particle_234.png,421,265,25
particle_235.png,968,716,19
particle_236.png,364,151,19
particle_237.png,101,263,18
particle_238.png,656,485,18
particle_239.png,111,176,18
particle_240.png,922,116,17
particle_241.png,286,55,15
particle_242.png,603,921,28
particle_243.png,758,343,25
particle_244.png,803,971,21
particle_245.png,805,850,21
particle_246.png,629,796,20
particle_247.png,911,206,19
particle_248.png,472,187,19
particle_249.png,587,142,19
particle_250.png,823,753,17
particle_251.png,200,118,13
particle_252.png,13,794,27
particle_253.png,233,17,19
particle_254.png,1000,892,18
particle_255.png,311,88,18
particle_256.png,227,491,16
particle_257.png,63,229,16
particle_258.png,235,463,15
particle_259.png,459,959,14
particle_260.png,191,200,13
particle_261.png,125,641,22
particle_262.png,269,512,21
particle_263.png,303,523,20
particle_264.png,1011,773,19
particle_265.png,487,633,19
particle_266.png,59,830,18
particle_267.png,812,574,18
particle_268.png,908,598,18
particle_269.png,200,472,17
particle_270.png,435,454,17
particle_271.png,1003,603,16
particle_272.png,803,187,15
particle_273.png,225,363,11
particle_274.png,902,835,24
particle_275.png,569,802,21
particle_276.png,968,881,18
particle_277.png,993,633,18
particle_278.png,765,964,16
particle_279.png,436,793,16
particle_280.png,340,515,15
particle_281.png,40,662,15
particle_282.png,986,165,14
particle_283.png,272,23,13
particle_284.png,325,436,35
particle_285.png,425,415,25
particle_286.png,81,677,23
particle_287.png,700,920,23
particle_288.png,485,868,21
particle_289.png,154,470,20
particle_290.png,885,1006,18
particle_291.png,225,679,17
particle_292.png,269,807,17
particle_293.png,115,44,16
particle_294.png,869,103,15
particle_295.png,952,838,24
particle_296.png,730,668,21
particle_297.png,517,64,20
particle_298.png,1001,65,19
particle_299.png,698,82,18
particle_300.png,615,166,17
particle_301.png,765,687,17
particle_302.png,429,950,16
particle_303.png,299,471,13
particle_304.png,170,173,12
particle_305.png,579,1007,24
particle_306.png,626,956,21
particle_307.png,430,493,21
particle_308.png,317,601,19
particle_309.png,291,395,17
particle_310.png,265,565,17
particle_311.png,508,25,17
particle_312.png,16,591,16
particle_313.png,314,136,15
particle_314.png,485,261,14
particle_315.png,669,869,14
particle_316.png,274,1023,22
particle_317.png,841,986,20
particle_318.png,536,284,16
particle_319.png,122,461,16
particle_320.png,991,494,16
particle_321.png,561,69,15
particle_322.png,598,779,14
particle_323.png,409,357,14
particle_324.png,670,795,13
particle_325.png,455,245,11
particle_326.png,83,779,20
particle_327.png,23,434,20
particle_328.png,220,433,18
particle_329.png,621,1012,18
particle_330.png,799,17,18
particle_331.png,374,256,17
particle_332.png,104,109,17
particle_333.png,536,811,16
particle_334.png,946,907,16
particle_335.png,164,787,15
particle_336.png,656,159,15
particle_337.png,385,430,15
particle_338.png,301,805,15
particle_339.png,842,955,14
particle_340.png,137,427,13
particle_341.png,269,733,13
particle_342.png,189,148,13
particle_343.png,464,722,26
particle_344.png,932,231,21
particle_345.png,909,971,20
particle_346.png,266,775,18
particle_347.png,841,83,18
particle_348.png,311,916,16
particle_349.png,303,441,15
particle_350.png,997,572,15
particle_351.png,638,67,15
particle_352.png,758,818,15
particle_353.png,46,21,14
particle_354.png,15,853,13
particle_355.png,371,947,13
particle_356.png,746,51,13
particle_357.png,465,152,13
particle_358.png,16,265,20
particle_359.png,428,908,19
particle_360.png,68,283,17
particle_361.png,71,541,17
particle_362.png,465,669,15
particle_363.png,655,611,14
particle_364.png,607,260,14
particle_365.png,573,167,12
particle_366.png,775,844,12
particle_367.png,839,535,29
particle_368.png,399,771,20
particle_369.png,513,1007,19
particle_370.png,747,928,19
particle_371.png,86,89,18
particle_372.png,574,881,16
particle_373.png,190,289,16
particle_374.png,641,763,16
particle_375.png,815,887,14
particle_376.png,161,272,14
particle_377.png,592,557,14
particle_378.png,344,727,14
particle_379.png,547,742,14
particle_380.png,429,824,14
particle_381.png,765,641,13
particle_382.png,412,587,13
particle_383.png,997,801,11
particle_384.png,416,753,32
particle_385.png,939,997,26
particle_386.png,1017,247,23
particle_387.png,1005,442,18
particle_388.png,460,399,16
particle_389.png,485,476,16
particle_390.png,332,387,15
particle_391.png,70,511,14
particle_392.png,797,101,14
particle_393.png,75,200,12
particle_394.png,559,191,11
particle_395.png,917,428,20
particle_396.png,995,837,19
particle_397.png,820,1019,18
particle_398.png,880,741,16
particle_399.png,549,861,16
particle_400.png,737,376,14
particle_401.png,691,883,13
particle_402.png,268,481,12
particle_403.png,52,775,11
particle_404.png,649,914,17
particle_405.png,951,563,17
particle_406.png,728,898,15
particle_407.png,741,847,14
particle_408.png,574,760,13
particle_409.png,22,141,13
particle_410.png,927,813,13
particle_411.png,215,994,12
particle_412.png,316,494,12
particle_413.png,556,148,11
particle_414.png,453,929,23
particle_415.png,645,34,19
particle_416.png,700,856,17
particle_417.png,787,136,17
