epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.358,0.73435,2.67029,1.20352,0.17937,0.93864,0.21293,0.21169,0.25379,6.179,0.25164,0.000323529,0.000323529,0.000323529
2,120.516,0.38336,1.73799,0.98911,0.18376,0.79163,0.33149,0.32117,0.40883,4.37387,0.56665,0.000643857,0.000643857,0.000643857
3,176.549,0.37633,1.61031,0.96237,0.26352,0.63416,0.31032,0.28807,0.31153,2.75103,1.01129,0.000950984,0.000950984,0.000950984
4,236.454,0.32502,1.53736,0.95572,0.25089,0.64821,0.35504,0.28686,0.61949,1.97762,1.31438,0.0009406,0.0009406,0.0009406
5,303.972,0.30754,1.49791,0.94595,0.31057,0.57934,0.40195,0.40064,0.54693,1.68927,1.3305,0.0009208,0.0009208,0.0009208
6,649.798,0.2762,1.42235,0.94145,0.27053,0.70731,0.35736,0.34249,0.40576,1.82604,1.2153,0.000901,0.000901,0.000901
7,702.924,0.2643,1.4277,0.93191,0.37,0.60916,0.43094,0.42602,0.28419,1.39525,1.12675,0.0008812,0.0008812,0.0008812
8,756.13,0.25981,1.39637,0.92399,0.34332,0.74265,0.50324,0.49851,0.31653,1.39248,1.1484,0.0008614,0.0008614,0.0008614
9,988.336,0.23767,1.36084,0.9153,0.29469,0.67207,0.48214,0.47201,0.27973,1.41791,1.1403,0.0008416,0.0008416,0.0008416
10,1395.09,0.24313,1.31324,0.92955,0.24347,0.52459,0.36399,0.30243,0.45497,2.29395,1.21815,0.0008218,0.0008218,0.0008218
11,1618.52,0.2351,1.35852,0.92517,0.25777,0.71747,0.2999,0.29726,0.46074,1.92814,1.24958,0.000802,0.000802,0.000802
12,1932.02,0.23549,1.3277,0.91548,0.34189,0.65285,0.49067,0.46704,0.27648,1.36553,1.15077,0.0007822,0.0007822,0.0007822
13,2105.27,0.21959,1.27668,0.92309,0.4249,0.74906,0.5585,0.55483,0.17751,1.3871,1.07919,0.0007624,0.0007624,0.0007624
14,2372.18,0.21797,1.2818,0.92427,0.41622,0.73388,0.58866,0.58621,0.22762,1.20318,1.08754,0.0007426,0.0007426,0.0007426
15,2555.25,0.21381,1.2453,0.91688,0.36606,0.67881,0.48227,0.48095,0.18993,1.56438,1.08311,0.0007228,0.0007228,0.0007228
16,2739.45,0.21928,1.21991,0.91957,0.43716,0.76124,0.57005,0.5678,0.23538,1.23278,1.11405,0.000703,0.000703,0.000703
17,3101.73,0.20353,1.20457,0.91062,0.42118,0.53926,0.45789,0.44791,0.23205,1.50873,1.09496,0.0006832,0.0006832,0.0006832
18,3359.16,0.19846,1.18828,0.9093,0.37415,0.64995,0.53513,0.53188,0.1876,1.38422,1.08698,0.0006634,0.0006634,0.0006634
19,3474.25,0.19172,1.15881,0.91228,0.39829,0.68399,0.54632,0.54475,0.22739,1.35566,1.08671,0.0006436,0.0006436,0.0006436
20,3710.91,0.18808,1.15557,0.91383,0.35348,0.65705,0.51836,0.514,0.20482,1.36652,1.08962,0.0006238,0.0006238,0.0006238
21,3884.64,0.18746,1.12556,0.91191,0.46033,0.70334,0.59491,0.59146,0.16203,1.2413,1.06816,0.000604,0.000604,0.000604
22,4176.6,0.18343,1.14156,0.90609,0.45424,0.80958,0.63325,0.62993,0.13707,1.03915,1.06662,0.0005842,0.0005842,0.0005842
23,4436.68,0.18262,1.08597,0.91631,0.45318,0.71361,0.63549,0.63277,0.19481,1.17205,1.07603,0.0005644,0.0005644,0.0005644
24,4571.13,0.17729,1.11541,0.90235,0.51414,0.77109,0.70405,0.69845,0.21055,1.11599,1.09085,0.0005446,0.0005446,0.0005446
25,4812.02,0.17959,1.08138,0.91443,0.46312,0.67073,0.57227,0.56861,0.20858,1.22601,1.08477,0.0005248,0.0005248,0.0005248
26,5006.56,0.17381,1.05752,0.91878,0.47764,0.75476,0.70149,0.69232,0.15221,1.00635,1.07495,0.000505,0.000505,0.000505
27,5287.94,0.16514,1.04413,0.90682,0.58956,0.7171,0.69008,0.68738,0.13218,1.08221,1.06627,0.0004852,0.0004852,0.0004852
28,5593.61,0.16206,1.09181,0.90298,0.37938,0.74851,0.60166,0.60008,0.19443,1.35251,1.09044,0.0004654,0.0004654,0.0004654
29,5761.21,0.16098,1.02965,0.90837,0.56432,0.68892,0.703,0.69454,0.1954,1.07091,1.08024,0.0004456,0.0004456,0.0004456
30,5949.04,0.1615,0.99729,0.90449,0.57107,0.67016,0.67979,0.67054,0.1441,1.15604,1.06978,0.0004258,0.0004258,0.0004258
31,6078.76,0.15155,0.96084,0.90852,0.42668,0.70706,0.5917,0.58778,0.15775,1.45837,1.08155,0.000406,0.000406,0.000406
32,6209.57,0.1497,0.94411,0.90622,0.51911,0.71291,0.68816,0.68457,0.14034,1.00021,1.06201,0.0003862,0.0003862,0.0003862
33,6441.18,0.16014,0.92647,0.90622,0.70393,0.60185,0.69072,0.68808,0.11629,1.01411,1.06322,0.0003664,0.0003664,0.0003664
34,6619.97,0.15646,0.91451,0.90195,0.45674,0.77724,0.70445,0.70315,0.11455,0.97567,1.05692,0.0003466,0.0003466,0.0003466
35,6749.65,0.15832,0.89857,0.90081,0.48859,0.83457,0.72879,0.72586,0.12921,0.98591,1.05872,0.0003268,0.0003268,0.0003268
36,6943.98,0.15164,0.90084,0.91233,0.70777,0.79419,0.81104,0.8084,0.10506,0.75319,1.05314,0.000307,0.000307,0.000307
37,7161.71,0.14591,0.86908,0.90519,0.59467,0.66212,0.7367,0.73395,0.12921,0.95356,1.06205,0.0002872,0.0002872,0.0002872
